 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,009.tiff,3673.176,328.661,0.427,126.193,481,15,174.413,45.843,3.438,0.291,0.785
2,009.tiff,1.864,3.861,1.000,1.931,234,63,135.000,1.365,1.000,1.000,1.000
3,009.tiff,6776.087,444.885,0.430,123.052,551,242,72.570,90.206,1.486,0.673,0.794
4,009.tiff,18.636,18.644,0.674,8.634,70,163,71.565,2.730,2.795,0.358,0.909
5,009.tiff,14.909,14.314,0.914,6.105,111,175,63.435,4.095,1.605,0.623,0.800
6,009.tiff,96.908,42.279,0.681,16.886,1739,224,165.964,8.191,2.016,0.496,0.852
7,009.tiff,1.864,3.861,1.000,1.931,1736,227,135.000,1.365,1.000,1.000,1.000
8,009.tiff,1.864,3.861,1.000,1.931,1746,233,135.000,1.365,1.000,1.000,1.000
9,009.tiff,18438.560,1019.499,0.223,261.773,802,403,148.216,158.178,1.589,0.629,0.650
10,009.tiff,11.182,11.584,1.000,5.792,455,469,135.000,3.663,1.809,0.553,0.800
11,009.tiff,13.045,15.114,0.718,6.826,451,476,53.130,4.095,1.918,0.521,0.778
12,009.tiff,104.362,58.855,0.379,19.877,458,473,105.945,12.286,2.173,0.460,0.586
13,009.tiff,52.181,26.697,0.920,10.397,917,538,156.801,8.191,1.266,0.790,0.836
14,009.tiff,635.491,102.402,0.762,36.067,844,569,119.476,27.261,1.316,0.760,0.874
15,009.tiff,354.086,117.847,0.320,39.800,545,581,5.906,17.134,2.908,0.344,0.661
16,009.tiff,242.269,60.454,0.833,22.223,1400,592,137.490,16.410,1.310,0.763,0.915
17,009.tiff,5.591,7.722,1.000,3.861,551,592,135.000,2.730,1.464,0.683,0.857
18,009.tiff,2187.878,187.760,0.780,61.900,417,700,138.576,53.092,1.098,0.911,0.908
19,009.tiff,10331.855,549.435,0.430,170.648,478,866,66.922,108.267,1.595,0.627,0.807
20,009.tiff,5657.921,461.678,0.334,152.957,672,756,139.343,85.999,1.929,0.518,0.676
21,009.tiff,61.499,28.297,0.965,11.006,731,773,60.255,8.191,1.304,0.767,0.892
22,009.tiff,35.409,20.905,1.000,8.741,396,828,128.660,6.716,1.380,0.725,0.884
23,009.tiff,175.179,50.002,0.880,19.014,723,845,21.038,12.913,1.535,0.652,0.895
24,009.tiff,104.362,38.749,0.873,15.263,468,880,63.435,10.921,1.458,0.686,0.875
25,009.tiff,309.359,85.358,0.534,38.077,326,885,14.534,12.475,3.443,0.290,0.881
26,009.tiff,29.818,24.767,0.611,10.397,1394,964,66.801,5.301,2.369,0.422,0.711
27,009.tiff,5.591,7.722,1.000,3.861,1403,958,135.000,2.730,1.464,0.683,0.857
28,009.tiff,9.318,9.653,1.000,4.922,1397,967,146.310,2.730,1.553,0.644,0.909
29,009.tiff,1.864,3.861,1.000,1.931,1395,968,135.000,1.365,1.000,1.000,1.000
30,009.tiff,11.182,10.453,1.000,4.922,1394,970,146.310,2.730,1.500,0.667,1.000
31,009.tiff,61.499,34.557,0.647,15.263,1035,1010,79.695,5.461,2.680,0.373,0.868
32,009.tiff,1330.618,162.857,0.630,59.521,373,1014,143.393,33.924,1.879,0.532,0.842
33,009.tiff,11761.244,687.719,0.312,186.745,379,1086,13.528,117.852,1.901,0.526,0.671
34,009.tiff,1459.207,167.849,0.651,65.754,122,1132,48.366,33.713,2.147,0.466,0.870
35,009.tiff,7.454,7.722,1.000,3.861,994,1141,135.000,2.730,1.000,1.000,1.000
36,009.tiff,1382.799,201.274,0.429,79.001,534,1384,161.878,29.019,3.071,0.326,0.777
37,009.tiff,3.727,6.591,1.000,3.053,661,1380,116.565,1.365,2.000,0.500,1.000
38,009.tiff,5.591,8.522,0.967,4.317,666,1380,161.565,1.365,3.000,0.333,1.000
39,009.tiff,16.772,20.106,0.521,8.304,533,1434,170.538,4.095,1.944,0.514,0.643
40,009.tiff,156.543,77.030,0.332,23.566,542,1438,169.992,17.523,1.179,0.848,0.562
41,009.tiff,11.182,12.383,0.916,5.629,581,1445,165.964,2.730,1.809,0.553,0.857
42,009.tiff,5.591,9.322,0.809,4.317,546,1447,108.435,1.365,3.000,0.333,1.000
43,009.tiff,1.864,3.861,1.000,1.931,542,1449,135.000,1.365,1.000,1.000,1.000
44,009.tiff,942.987,124.107,0.769,40.335,453,1490,156.038,35.494,1.136,0.880,0.887
