 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,008.tiff,89.453,35.219,0.906,14.512,1483,31,131.186,9.466,1.644,0.608,0.865
2,008.tiff,253.451,59.323,0.905,20.294,1312,35,132.274,17.747,1.072,0.933,0.907
3,008.tiff,199.406,60.123,0.693,24.610,1544,57,56.310,12.174,2.384,0.419,0.843
4,008.tiff,72.681,31.027,0.949,12.879,2014,60,32.005,8.191,1.484,0.674,0.918
5,008.tiff,3274.363,283.571,0.512,91.138,1533,122,16.535,52.056,1.933,0.517,0.795
6,008.tiff,173.316,50.470,0.855,19.877,1476,167,164.055,10.921,1.806,0.554,0.930
7,008.tiff,652.264,103.202,0.770,36.884,1608,216,38.991,24.959,1.409,0.710,0.900
8,008.tiff,952.305,114.454,0.914,39.306,1042,233,110.323,32.763,1.171,0.854,0.955
9,008.tiff,1015.668,124.107,0.829,44.467,65,281,17.879,32.093,1.393,0.718,0.934
10,008.tiff,2707.826,217.051,0.722,77.825,488,314,164.745,50.956,1.511,0.662,0.897
11,008.tiff,63.363,29.427,0.919,12.879,1331,395,122.005,7.771,1.791,0.558,0.872
12,008.tiff,7.454,10.453,0.857,4.922,1379,395,123.690,2.730,2.000,0.500,0.800
13,008.tiff,922.487,113.323,0.903,39.800,1246,427,67.834,31.398,1.222,0.818,0.955
14,008.tiff,491.993,85.221,0.851,29.533,4,585,146.310,23.199,1.272,0.786,0.913
15,008.tiff,76.408,34.088,0.826,12.951,1709,613,71.565,9.497,1.362,0.734,0.845
16,008.tiff,8268.839,419.262,0.591,132.987,958,689,17.319,99.105,1.328,0.753,0.858
17,008.tiff,1162.893,136.022,0.790,51.893,1703,854,35.362,30.531,1.739,0.575,0.912
18,008.tiff,894.533,115.254,0.846,44.467,213,839,162.121,27.303,1.551,0.645,0.950
19,008.tiff,941.123,116.853,0.866,41.272,1240,869,124.216,31.887,1.276,0.783,0.949
20,008.tiff,737.990,108.194,0.792,42.670,479,916,172.648,24.121,1.806,0.554,0.927
21,008.tiff,702.581,99.204,0.897,36.067,436,951,150.524,26.862,1.347,0.743,0.941
22,008.tiff,1280.300,138.421,0.840,53.012,1377,984,55.491,32.763,1.632,0.613,0.947
23,008.tiff,93.181,36.019,0.903,12.586,1307,1063,130.601,10.921,1.107,0.903,0.862
24,008.tiff,141.634,42.279,0.996,15.263,1274,1085,63.435,12.286,1.110,0.901,0.938
25,008.tiff,46.590,24.435,0.981,9.844,1294,1090,56.310,6.826,1.294,0.773,0.909
26,008.tiff,816.261,148.737,0.464,41.272,1755,1173,34.216,31.873,1.421,0.704,0.768
27,008.tiff,652.264,96.942,0.872,37.560,1705,1305,160.907,23.743,1.605,0.623,0.947
28,008.tiff,400.676,84.090,0.712,34.885,1991,1343,30.579,15.263,2.361,0.424,0.909
29,008.tiff,1.864,3.861,1.000,1.931,459,1396,135.000,1.365,1.000,1.000,1.000
30,008.tiff,39.136,23.967,0.856,9.158,321,1402,153.435,7.326,1.259,0.794,0.778
31,008.tiff,52.181,25.566,1.000,9.844,302,1412,33.690,8.191,1.191,0.840,0.889
