 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,002.tiff,857.261,111.998,0.859,39.683,564,22,49.185,30.033,1.126,0.888,0.967
2,002.tiff,15128.788,822.530,0.281,205.883,1432,99,11.086,130.058,1.794,0.557,0.701
3,002.tiff,780.853,113.186,0.766,40.589,1703,42,19.654,29.508,1.391,0.719,0.883
4,002.tiff,52.181,27.497,0.867,11.743,435,62,54.462,7.645,1.747,0.572,0.848
5,002.tiff,13.045,12.383,1.000,6.105,1577,76,153.435,2.730,1.936,0.517,0.933
6,002.tiff,63.363,28.297,0.994,11.006,1786,98,29.745,8.191,1.218,0.821,0.895
7,002.tiff,11.182,11.584,1.000,4.922,1813,102,123.690,3.861,1.291,0.775,0.800
8,002.tiff,18.636,15.114,1.000,6.105,553,156,153.435,4.095,1.236,0.809,0.909
9,002.tiff,439.812,100.003,0.553,35.230,1563,168,125.538,19.112,1.896,0.527,0.846
10,002.tiff,104.362,44.872,0.651,21.324,22,199,140.194,7.722,2.915,0.343,0.842
11,002.tiff,5195.745,346.893,0.543,103.697,130,294,73.951,81.445,1.419,0.705,0.822
12,002.tiff,16.772,14.314,1.000,6.826,1805,323,143.130,4.095,1.539,0.650,0.900
13,002.tiff,78.272,32.158,0.951,12.879,716,515,32.005,9.497,1.396,0.716,0.903
14,002.tiff,372.722,88.088,0.604,37.086,1406,532,96.340,15.017,2.625,0.381,0.864
15,002.tiff,18.636,14.314,1.000,6.105,909,559,116.565,4.095,1.327,0.753,0.909
16,002.tiff,18712.511,613.888,0.624,196.945,1181,717,54.878,149.611,1.340,0.746,0.883
17,002.tiff,1.864,3.861,1.000,1.931,754,631,135.000,1.365,1.000,1.000,1.000
18,002.tiff,1.864,3.861,1.000,1.931,1897,675,135.000,1.365,1.000,1.000,1.000
19,002.tiff,50.317,30.227,0.692,13.445,1875,686,23.962,6.338,2.558,0.391,0.783
20,002.tiff,78575.400,1233.762,0.649,404.213,1139,823,156.725,276.546,1.348,0.742,0.921
21,002.tiff,31.681,19.774,1.000,7.960,1291,737,120.964,5.461,1.336,0.749,0.919
22,002.tiff,48.454,23.636,1.000,9.158,1120,780,153.435,6.826,1.184,0.845,0.929
23,002.tiff,3367.544,346.756,0.352,101.728,1442,888,49.899,63.901,1.779,0.562,0.721
24,002.tiff,3883.764,251.276,0.773,85.961,1707,878,110.450,62.303,1.374,0.728,0.925
25,002.tiff,911.305,142.614,0.563,50.676,1275,1042,85.365,30.386,2.015,0.496,0.799
26,002.tiff,109.953,37.950,0.959,14.703,1894,1095,111.801,10.921,1.306,0.766,0.908
27,002.tiff,9.318,9.653,1.000,4.922,1900,1131,146.310,2.730,1.553,0.644,0.909
28,002.tiff,59.636,28.628,0.914,10.397,446,1156,66.801,9.066,1.091,0.916,0.831
29,002.tiff,18.636,15.114,1.000,6.105,1930,1155,153.435,4.095,1.236,0.809,0.909
30,002.tiff,19111.323,1102.046,0.198,315.610,870,1424,68.429,155.447,1.905,0.525,0.591
31,002.tiff,2521.465,252.076,0.499,93.470,1384,1447,96.710,43.031,2.599,0.385,0.787
32,002.tiff,46.590,31.495,0.590,14.252,1420,1536,16.699,4.095,3.331,0.300,0.926
