 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,003.tiff,24.227,18.175,0.922,6.961,1495,52,168.690,5.461,1.145,0.874,0.812
2,003.tiff,22.363,18.975,0.781,8.634,1342,68,161.565,4.095,2.334,0.428,0.800
3,003.tiff,9228.598,682.396,0.249,220.740,36,94,95.323,105.363,2.032,0.492,0.625
4,003.tiff,26.091,18.975,0.911,8.741,351,198,38.660,5.461,1.790,0.559,0.848
5,003.tiff,40.999,32.957,0.474,14.055,1607,280,119.055,6.716,2.854,0.350,0.611
6,003.tiff,11.182,13.514,0.769,6.826,1679,465,36.870,2.896,2.810,0.356,0.750
7,003.tiff,5570.331,396.506,0.445,154.303,1868,527,103.299,60.066,2.752,0.363,0.794
8,003.tiff,24912.742,1178.551,0.225,315.540,1383,767,49.210,177.952,2.160,0.463,0.600
9,003.tiff,20.500,19.774,0.659,8.304,153,712,99.462,4.095,1.976,0.506,0.759
10,003.tiff,5.591,7.722,1.000,3.861,1029,860,135.000,2.730,1.464,0.683,0.857
11,003.tiff,1.864,3.861,1.000,1.931,1222,957,135.000,1.365,1.000,1.000,1.000
12,003.tiff,17667.025,905.707,0.271,231.853,569,1000,125.655,132.658,2.094,0.477,0.683
13,003.tiff,3402.952,383.631,0.291,131.791,1452,1011,103.173,50.774,3.167,0.316,0.707
14,003.tiff,3.727,5.792,1.000,3.053,1027,1056,153.435,1.365,2.000,0.500,1.000
15,003.tiff,5.591,7.722,1.000,3.861,313,1181,135.000,2.730,1.464,0.683,0.857
16,003.tiff,6876.722,421.855,0.486,143.988,388,1378,84.560,75.083,2.110,0.474,0.811
17,003.tiff,21271.248,760.969,0.462,208.335,1667,1406,15.584,175.047,1.232,0.812,0.800
18,003.tiff,7068.674,407.347,0.535,123.445,1930,1481,51.736,88.219,1.407,0.711,0.845
19,003.tiff,68.954,30.227,0.948,11.743,1365,1482,144.462,9.497,1.177,0.850,0.881
