 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,RGB,849.806,128.574,0.646,50.344,1894,36,77.471,23.854,2.328,0.430,0.885
2,RGB,18662.193,1113.630,0.189,315.891,329,268,68.980,154.572,1.893,0.528,0.582
3,RGB,5.591,7.722,1.000,3.861,1936,92,45.000,2.730,1.464,0.683,0.857
4,RGB,1.864,3.861,1.000,1.931,1872,131,135.000,1.365,1.000,1.000,1.000
5,RGB,2514.010,256.737,0.479,93.639,841,290,97.539,44.380,2.592,0.386,0.764
6,RGB,96.908,42.942,0.660,16.608,877,378,170.538,9.556,1.892,0.529,0.776
7,RGB,4273.258,314.929,0.541,117.029,1436,438,163.045,57.611,2.185,0.458,0.844
8,RGB,145.362,46.140,0.858,17.268,1425,492,161.565,12.251,1.416,0.706,0.902
9,RGB,33209.535,2017.065,0.103,539.091,1017,520,99.033,261.256,1.343,0.744,0.414
10,RGB,2832.688,245.953,0.588,79.143,1112,588,14.995,55.809,1.336,0.748,0.860
11,RGB,136.044,43.410,0.907,15.979,643,607,160.017,12.286,1.287,0.777,0.901
12,RGB,16.772,14.314,1.000,6.105,1961,621,63.435,4.095,1.185,0.844,0.857
13,RGB,24.227,16.244,1.000,6.826,1330,623,36.870,5.461,1.159,0.863,0.897
14,RGB,7.454,10.453,0.857,4.317,267,632,108.435,2.730,1.468,0.681,0.800
15,RGB,136.044,49.339,0.702,20.156,705,646,61.699,10.099,2.071,0.483,0.844
16,RGB,65.226,28.628,1.000,11.743,719,639,125.538,8.191,1.389,0.720,0.886
17,RGB,7.454,10.453,0.857,4.922,1803,646,56.310,2.730,2.000,0.500,0.800
18,RGB,39.136,22.036,1.000,8.741,1903,661,38.660,6.826,1.089,0.918,0.840
19,RGB,23263.447,1134.398,0.227,231.672,1795,729,171.870,197.376,1.178,0.849,0.693
20,RGB,3.727,6.591,1.000,3.053,1945,680,116.565,1.365,2.000,0.500,1.000
21,RGB,11.182,13.183,0.809,5.629,1935,724,104.036,2.730,1.809,0.553,0.857
22,RGB,11779.881,586.448,0.430,162.469,1114,934,24.842,133.688,1.024,0.976,0.772
23,RGB,16.772,14.314,1.000,6.826,20,855,143.130,4.095,1.542,0.648,0.857
24,RGB,633.627,98.210,0.826,33.047,1731,933,141.710,27.261,1.115,0.897,0.912
25,RGB,35.409,23.304,0.819,10.397,1348,942,23.199,4.095,2.146,0.466,0.950
26,RGB,199.406,55.131,0.824,20.838,902,980,58.392,12.935,1.652,0.605,0.907
27,RGB,14.909,12.383,1.000,5.792,541,976,45.000,4.095,1.229,0.814,0.941
28,RGB,4981.430,402.686,0.386,127.785,123,1162,71.952,69.622,1.925,0.520,0.799
29,RGB,223.633,58.524,0.821,20.838,1951,1137,148.392,17.747,1.148,0.871,0.886
30,RGB,1.864,3.861,1.000,1.931,1991,1231,135.000,1.365,1.000,1.000,1.000
31,RGB,22.363,16.244,1.000,6.826,2020,1234,36.870,5.461,1.281,0.780,0.857
32,RGB,7884.935,659.480,0.228,163.566,981,1402,75.500,94.302,1.996,0.501,0.595
33,RGB,3.727,6.591,1.000,3.053,1783,1309,116.565,1.365,2.000,0.500,1.000
34,RGB,12648.323,617.395,0.417,211.927,1217,1424,21.938,103.237,2.117,0.472,0.815
35,RGB,22.363,17.844,0.883,7.960,1879,1364,59.036,4.095,1.679,0.596,0.923
36,RGB,10067.223,460.410,0.597,143.001,613,1469,69.316,100.855,1.283,0.780,0.880
37,RGB,259.042,59.792,0.911,20.477,1985,1387,143.130,16.382,1.103,0.906,0.936
