 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,RGB,98.771,43.079,0.669,19.306,614,2,8.130,6.826,2.486,0.402,0.930
2,RGB,499.448,99.341,0.636,42.866,1113,24,99.162,17.324,2.520,0.397,0.913
3,RGB,8652.743,534.710,0.380,157.708,885,69,174.536,86.535,1.799,0.556,0.787
4,RGB,143.498,49.202,0.745,20.883,1819,94,11.310,10.921,1.849,0.541,0.890
5,RGB,268.360,62.385,0.867,23.328,430,422,159.444,16.989,1.463,0.684,0.894
6,RGB,9.318,10.453,1.000,4.922,1993,452,33.690,2.730,1.553,0.644,0.909
7,RGB,5.591,7.722,1.000,3.861,1687,563,45.000,2.730,1.464,0.683,0.857
8,RGB,85.726,36.019,0.830,14.703,1686,576,68.199,9.556,1.639,0.610,0.852
9,RGB,48.454,25.566,0.932,9.844,2025,619,33.690,8.191,1.103,0.906,0.897
10,RGB,959.759,136.491,0.647,54.827,1241,722,71.114,25.470,2.226,0.449,0.912
11,RGB,91.317,48.402,0.490,20.294,1998,742,19.654,9.339,2.810,0.356,0.710
12,RGB,149.089,58.855,0.541,22.223,2021,750,10.620,15.210,1.499,0.667,0.678
13,RGB,4221.077,319.590,0.519,114.688,1671,770,98.902,60.857,1.987,0.503,0.841
14,RGB,210.588,56.262,0.836,22.012,1839,816,29.745,15.017,1.230,0.813,0.900
15,RGB,5.591,7.722,1.000,3.861,250,847,135.000,2.730,1.464,0.683,0.857
16,RGB,24.227,20.106,0.753,9.158,256,853,153.435,4.827,2.176,0.460,0.788
17,RGB,145.362,44.541,0.921,15.979,57,867,160.017,13.383,1.240,0.806,0.897
18,RGB,469.630,82.159,0.874,28.505,255,869,106.699,23.207,1.199,0.834,0.925
19,RGB,1.864,3.861,1.000,1.931,1193,903,135.000,1.365,1.000,1.000,1.000
20,RGB,74.544,37.618,0.662,16.664,238,931,145.008,8.688,2.098,0.477,0.851
21,RGB,37.272,28.628,0.572,12.879,251,937,147.995,5.385,3.209,0.312,0.690
22,RGB,9.318,10.453,1.000,4.922,1180,986,123.690,2.730,1.553,0.644,0.909
23,RGB,96.908,45.341,0.592,18.213,171,1032,77.005,8.191,2.534,0.395,0.806
24,RGB,613.128,100.003,0.770,39.092,1926,1059,77.905,24.083,1.676,0.597,0.899
25,RGB,1164.756,166.524,0.528,68.380,368,1073,176.566,23.207,3.262,0.307,0.915
26,RGB,22.363,17.044,0.967,7.960,294,1076,59.036,4.095,1.939,0.516,0.889
27,RGB,5.591,9.322,0.809,4.317,363,1075,108.435,1.365,3.000,0.333,1.000
28,RGB,10046.723,563.863,0.397,156.991,264,1091,143.130,106.282,1.538,0.650,0.825
29,RGB,6012.007,531.648,0.267,150.389,453,1275,86.878,82.200,1.792,0.558,0.666
30,RGB,3.727,6.591,1.000,3.053,1479,1239,116.565,1.365,2.000,0.500,1.000
31,RGB,59.636,30.227,0.820,13.445,1455,1269,156.038,6.826,2.241,0.446,0.865
32,RGB,587.037,101.603,0.715,42.385,626,1310,165.069,21.545,2.063,0.485,0.891
33,RGB,68.954,31.827,0.855,12.210,2017,1308,116.565,6.826,1.639,0.610,0.949
34,RGB,7.454,11.584,0.698,5.792,256,1317,135.000,2.896,2.654,0.377,0.667
35,RGB,20891.071,840.454,0.372,234.093,542,1388,165.478,140.107,1.792,0.558,0.795
36,RGB,214.315,55.462,0.876,19.688,834,1473,146.310,16.382,1.132,0.883,0.916
