 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,005.tiff,3.727,5.792,1.000,3.053,30,37,153.435,1.365,2.000,0.500,1.000
2,005.tiff,1679.113,178.907,0.659,74.033,1675,98,84.710,31.398,2.533,0.395,0.915
3,005.tiff,2005.245,274.306,0.335,91.719,1008,309,85.732,43.429,2.597,0.385,0.655
4,005.tiff,13.045,11.584,1.000,4.922,507,265,123.690,4.095,1.069,0.936,0.875
5,005.tiff,5.591,9.322,0.809,4.317,1061,297,108.435,1.365,3.000,0.333,1.000
6,005.tiff,15447.466,822.554,0.287,217.195,655,369,17.182,118.252,2.000,0.500,0.757
7,005.tiff,5687.739,342.894,0.608,120.759,1587,494,84.161,73.823,1.581,0.633,0.852
8,005.tiff,11.182,17.044,0.484,7.960,151,418,59.036,3.408,3.231,0.310,0.600
9,005.tiff,1813.293,183.899,0.674,60.622,1120,422,125.838,47.134,1.231,0.813,0.868
10,005.tiff,95.044,36.819,0.881,13.651,147,435,36.870,10.921,1.183,0.846,0.864
11,005.tiff,23069.632,1103.645,0.238,277.718,75,661,125.800,143.264,2.352,0.425,0.699
12,005.tiff,3.727,5.792,1.000,3.053,520,727,153.435,1.365,2.000,0.500,1.000
13,005.tiff,1.864,3.861,1.000,1.931,513,730,135.000,1.365,1.000,1.000,1.000
14,005.tiff,270.223,64.784,0.809,22.720,2035,752,57.265,18.428,1.242,0.805,0.890
15,005.tiff,5465.969,441.629,0.352,130.662,1534,838,62.632,89.383,1.923,0.520,0.696
16,005.tiff,20058.037,831.133,0.365,246.698,226,896,138.814,156.078,1.562,0.640,0.781
17,005.tiff,7.454,7.722,1.000,3.861,592,913,135.000,2.730,1.000,1.000,1.000
18,005.tiff,611.264,102.402,0.733,42.165,636,981,60.945,21.960,1.998,0.500,0.915
19,005.tiff,16368.089,629.915,0.518,204.284,247,1127,10.784,128.591,1.507,0.664,0.863
20,005.tiff,5415.651,368.461,0.501,105.761,1716,1261,113.587,87.634,1.371,0.729,0.800
21,005.tiff,5.591,7.722,1.000,3.861,498,1274,45.000,2.730,1.464,0.683,0.857
22,005.tiff,4208.032,789.620,0.085,362.267,1379,1286,109.596,29.579,14.408,0.069,0.540
23,005.tiff,15568.600,795.445,0.309,210.272,1538,1373,23.736,125.771,1.960,0.510,0.737
24,005.tiff,2234.469,235.694,0.505,86.565,1719,1373,127.954,43.697,1.877,0.533,0.802
