 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,007.tiff,296.314,62.853,0.943,22.514,143,46,165.964,16.382,1.305,0.766,0.938
2,007.tiff,5859.191,463.003,0.343,162.274,451,108,137.045,69.652,2.724,0.367,0.698
3,007.tiff,4552.800,314.267,0.579,104.502,1947,206,19.855,70.421,1.630,0.614,0.826
4,007.tiff,443.539,83.427,0.801,34.129,1888,192,163.740,17.747,1.939,0.516,0.928
5,007.tiff,285.132,64.647,0.857,24.610,473,213,146.310,15.445,1.620,0.617,0.908
6,007.tiff,17335.303,666.483,0.490,224.946,1199,476,84.428,106.481,2.289,0.437,0.845
7,007.tiff,191.952,57.393,0.732,21.368,925,380,153.435,14.899,1.503,0.665,0.805
8,007.tiff,169.589,48.871,0.892,19.546,1461,405,167.905,10.921,1.683,0.594,0.929
9,007.tiff,221.770,54.662,0.933,19.402,743,468,39.289,16.382,1.117,0.895,0.919
10,007.tiff,59.636,26.697,1.000,11.006,2023,510,150.255,7.937,1.422,0.703,0.889
11,007.tiff,1502.070,160.457,0.733,49.823,264,539,170.538,45.351,1.077,0.928,0.881
12,007.tiff,695.127,99.672,0.879,34.455,790,538,123.690,26.871,1.234,0.810,0.932
13,007.tiff,3074.957,220.855,0.792,79.249,73,659,169.077,51.618,1.579,0.633,0.947
14,007.tiff,171.452,47.271,0.964,17.482,1357,795,51.340,13.651,1.256,0.796,0.915
15,007.tiff,5033.611,409.997,0.376,130.633,453,876,145.646,68.226,2.116,0.472,0.746
16,007.tiff,2092.834,220.249,0.542,84.330,634,931,60.945,39.029,2.352,0.425,0.842
17,007.tiff,2465.556,276.043,0.407,108.707,266,986,54.713,45.201,2.598,0.385,0.747
18,007.tiff,7.454,10.453,0.857,4.317,827,984,108.435,2.730,1.468,0.681,0.800
19,007.tiff,167.725,47.271,0.943,17.747,267,1024,157.380,13.651,1.269,0.788,0.900
20,007.tiff,9.318,11.584,0.873,4.317,1874,1027,108.435,3.861,1.000,1.000,0.714
21,007.tiff,35.409,22.036,0.916,8.634,471,1044,71.565,6.716,1.312,0.762,0.826
22,007.tiff,26.091,18.175,0.993,7.352,1161,1103,111.801,5.461,1.421,0.704,0.824
23,007.tiff,307.496,67.845,0.839,26.081,640,1151,173.991,15.017,1.656,0.604,0.924
24,007.tiff,404.403,74.437,0.917,27.642,5,1189,57.095,20.446,1.372,0.729,0.935
25,007.tiff,134.180,42.610,0.929,17.747,1996,1183,112.620,10.921,1.645,0.608,0.911
26,007.tiff,9610.638,419.730,0.686,141.244,280,1271,147.232,94.935,1.564,0.639,0.908
27,007.tiff,238.542,58.524,0.875,23.248,198,1272,139.764,15.109,1.636,0.611,0.918
28,007.tiff,374.586,89.550,0.587,34.965,318,1392,38.660,17.375,2.514,0.398,0.781
29,007.tiff,74.544,31.358,0.953,12.210,424,1429,26.565,9.556,1.311,0.763,0.879
30,007.tiff,67.090,28.628,1.000,11.006,411,1435,29.745,8.688,1.233,0.811,0.900
31,007.tiff,572.128,89.550,0.897,30.525,2004,1510,79.695,25.938,1.137,0.879,0.929
