 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
57,Composite:1,26.091,17.044,1.000,6.826,620,482,126.870,5.461,1.125,0.889,0.933
58,Composite:1,48.454,25.235,0.956,10.397,1692,484,156.801,5.461,1.861,0.537,0.963
59,Composite:1,5.591,9.322,0.809,4.317,548,486,108.435,1.365,3.000,0.333,1.000
60,Composite:1,11.182,12.383,0.916,5.792,2014,488,135.000,3.861,1.593,0.628,0.857
61,Composite:1,1.864,3.861,1.000,1.931,1424,502,135.000,1.365,1.000,1.000,1.000
62,Composite:1,5.591,8.522,0.967,4.317,630,510,161.565,1.365,3.000,0.333,1.000
63,Composite:1,1.864,3.861,1.000,1.931,570,514,135.000,1.365,1.000,1.000,1.000
64,Composite:1,122.998,43.079,0.833,18.213,202,532,77.005,8.191,1.996,0.501,0.943
65,Composite:1,7.454,12.052,0.645,5.629,868,521,104.036,1.365,4.000,0.250,1.000
66,Composite:1,26.091,17.044,1.000,6.826,872,522,126.870,5.461,1.020,0.981,0.933
67,Composite:1,9.318,14.782,0.536,6.961,894,526,101.310,1.365,5.000,0.200,1.000
68,Composite:1,11.182,12.383,0.916,5.792,934,529,45.000,3.861,1.593,0.628,0.857
69,Composite:1,26.091,18.175,0.993,6.961,873,532,168.690,5.461,1.017,0.983,0.824
70,Composite:1,175.179,47.271,0.985,17.799,915,536,147.529,14.480,1.214,0.824,0.926
71,Composite:1,7.454,10.453,0.857,4.317,868,539,108.435,2.730,1.468,0.681,0.800
72,Composite:1,27.954,17.844,1.000,7.722,870,547,45.000,5.461,1.137,0.880,0.968
73,Composite:1,26.091,19.774,0.838,7.960,904,544,149.036,5.461,1.246,0.803,0.848
74,Composite:1,44.727,34.088,0.484,13.719,886,553,95.711,6.826,2.108,0.474,0.667
75,Composite:1,1.864,3.861,1.000,1.931,880,556,135.000,1.365,1.000,1.000,1.000
76,Composite:1,9.318,13.183,0.674,5.629,896,556,104.036,2.730,2.188,0.457,0.769
77,Composite:1,31.681,20.106,0.985,7.960,869,563,30.964,6.716,1.250,0.800,0.829
78,Composite:1,954.168,124.107,0.778,42.341,845,567,110.772,33.319,1.273,0.786,0.894
79,Composite:1,752.899,127.968,0.578,46.914,542,583,8.366,24.573,2.217,0.451,0.829
80,Composite:1,33.545,25.235,0.662,11.006,872,569,97.125,4.095,2.520,0.397,0.857
81,Composite:1,54.045,25.566,1.000,9.844,878,579,33.690,8.191,1.161,0.861,0.906
