 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,RGB,273.951,66.246,0.784,28.143,1869,230,39.094,14.383,2.069,0.483,0.899
2,RGB,128.589,45.809,0.770,17.747,576,231,67.380,10.099,1.904,0.525,0.863
3,RGB,46.590,23.636,1.000,9.844,566,239,146.310,6.826,1.312,0.762,0.926
4,RGB,22.363,20.106,0.695,9.158,857,270,26.565,4.543,2.433,0.411,0.750
5,RGB,769.671,119.115,0.682,49.692,99,382,74.055,22.096,2.401,0.417,0.905
6,RGB,490.130,84.558,0.861,29.971,878,451,120.069,22.859,1.356,0.737,0.926
7,RGB,600.083,91.481,0.901,34.885,228,513,149.421,24.133,1.454,0.688,0.946
8,RGB,122.998,41.480,0.898,16.495,1862,537,114.444,10.921,1.579,0.633,0.898
9,RGB,309.359,67.046,0.865,25.098,1529,640,157.620,17.094,1.509,0.663,0.912
10,RGB,27.954,18.175,1.000,7.352,1432,639,158.199,5.461,1.127,0.887,0.857
11,RGB,998.895,117.847,0.904,39.683,1434,690,86.055,34.129,1.082,0.924,0.944
12,RGB,286.996,60.454,0.987,21.368,1007,689,26.565,18.995,1.090,0.918,0.936
13,RGB,216.179,53.532,0.948,19.688,1237,728,33.690,15.017,1.272,0.786,0.935
14,RGB,3.727,5.792,1.000,3.053,668,769,153.435,1.365,2.000,0.500,1.000
15,RGB,285.132,75.237,0.633,25.172,663,772,139.399,19.112,1.237,0.809,0.841
16,RGB,231.088,57.724,0.872,22.884,1485,796,72.646,14.652,1.618,0.618,0.908
17,RGB,6435.046,488.238,0.339,143.755,1083,864,175.643,94.950,1.724,0.580,0.711
18,RGB,588.901,108.525,0.628,42.165,1537,876,29.055,24.832,1.759,0.569,0.832
19,RGB,136.044,45.809,0.815,19.014,1704,910,21.038,9.556,1.920,0.521,0.936
20,RGB,5.591,7.722,1.000,3.861,1760,930,45.000,2.730,1.464,0.683,0.857
21,RGB,10132.449,479.579,0.554,139.305,1631,1027,65.695,108.719,1.301,0.769,0.903
22,RGB,11940.151,470.063,0.679,162.079,331,973,147.381,104.252,1.586,0.630,0.908
23,RGB,124.862,41.148,0.927,14.766,1108,1013,123.690,12.286,1.086,0.921,0.918
24,RGB,318.677,67.514,0.879,26.506,1851,1026,124.509,17.268,1.535,0.652,0.934
25,RGB,544.174,90.156,0.841,34.210,674,1033,151.390,21.842,1.515,0.660,0.937
26,RGB,316.814,70.244,0.807,27.303,1237,1243,53.130,18.456,1.539,0.650,0.924
27,RGB,1.864,3.861,1.000,1.931,1655,1242,135.000,1.365,1.000,1.000,1.000
28,RGB,13.045,12.383,1.000,5.792,199,1285,135.000,4.095,1.380,0.725,0.875
29,RGB,383.904,77.030,0.813,30.678,347,1305,147.724,17.375,1.868,0.535,0.894
30,RGB,20.500,16.244,0.976,6.105,1717,1340,116.565,5.461,1.035,0.966,0.846
31,RGB,1198.301,131.167,0.875,42.866,1269,1402,52.765,37.932,1.042,0.960,0.938
32,RGB,249.724,62.054,0.815,25.393,1223,1415,53.746,14.042,1.883,0.531,0.918
33,RGB,834.897,108.662,0.889,37.286,1375,1463,113.749,31.398,1.054,0.949,0.941
34,RGB,63.363,32.158,0.770,12.951,391,1504,161.565,6.826,1.800,0.556,0.861
