 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
13,004.tiff,46.59,23.636,1.0,9.844,1085,265,123.69,6.826,1.293,0.773,0.926
21,004.tiff,85.726,39.88,0.677,15.979,935,525,160.017,9.103,1.777,0.563,0.821
